32 2 7 1981 1 -4 4 -4 -4 -5 -4 -4 -4 -4 -4 20203 8979 -4 -4 901 -4 -4 -4 308 83 1133 424 -4 -4 1362 1869 -4 500 1482 157 -4 -4 -4 -4 -4 -4 -4
33 2 12 1980 1 -4 4 -4 -4 -4 -4 1188 1349 1508 957 25801 13084 -4 -4 1647 746 -4 936 -4 -4 -4 -4 -4 -4 1208 216 -4 -4 83 -4 -4 -4 -4 -4 -4 -4 -4
34 2 12 1984 1 105 4 78 86 76 85 -4 -4 -4 -4 9158 3497 -4 -4 -4 -4 -4 -4 1902 1201 2263 755 -4 -4 2035 1535 370 1178 1645 2010 -4 -4 -4 -4 -4 -4 -4
35 1 1 1983 1 -4 4 -4 -4 -4 -4 251 -4 -4 665 9612 7624 -4 -4 -4 -4 14 672 -4 305 481 -4 -4 -4 1000 1197 279 421 -4 -4 -4 -4 -4 -4 560 520 -4
36 2 8 1980 1 -4 4 -4 -4 -4 -4 -4 -4 49 792 15206 7682 -4 -4 88 -4 -4 -4 154 474 -4 -4 -4 -4 967 925 -4 481 429 1091 -4 -4 -4 -4 -4 -4 -4
37 2 11 1980 1 -4 4 -4 -4 -4 -4 955 1303 436 176 -3 -3 -4 -4 1802 719 191 1419 -4 -4 -4 -4 -3 -3 1378 556 -4 -4 -4 -4 -4 -4 -4 -4 540 630 -4
38 2 9 1981 1 -4 4 -4 -4 -4 -4 537 1267 -4 38 25207 7327 -4 -4 1251 -4 -4 -4 -4 -4 432 -4 -4 -4 1381 1005 -4 34 740 227 -4 -4 -4 -4 -4 -4 -4
39 1 2 1980 1 -4 2 -4 -4 -4 -4 -4 -4 -4 675 24240 5282 -4 -4 984 -4 -4 -4 772 570 820 -4 -4 -4 649 2414 -4 759 442 672 -4 -4 -4 -4 -4 -4 -4
40 2 5 1984 1 86 4 -4 97 86 84 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 75
41 2 1 1983 1 96 4 -4 -4 -4 -4 456 405 266 411 26140 4864 -4 -4 1290 -4 -4 202 -4 -4 -4 -4 -4 -4 1422 491 -4 149 844 -4 -4 -4 -4 -4 560 690 -4
